slug,title,category,editorial_status,A,B,C,D,E,F,G,H,I,J,K,L,overall,tier,reader_test,recognition_evidence,unique_insight_evidence,generic_dictionary_test,generic_dictionary_note,nearest_neighbor_slug,neighbor_similarity,collision,independent_intent,primary_reason,secondary_reasons,trust_risks,word_count,reflection_question_count,related_dream_count,related_reason_count
seeing-your-double,Seeing your double,Transformation and life transitions,KEEP,3,3,3,2,3,1,1,1,1,2,3,2,25,P2,Passes,"seeing an evil or frightening double May reflect hidden fears, guilt, unresolved emotions, or parts of yourself that need understanding.",Fear may reflect replacement or loss of ownership; curiosity can support comparison; shame may attach to a rejected quality; compassion toward the double can indicate willingness to understand rather than eliminate conflict.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",living-a-double-life,0.3137,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Insufficient symbolic context; Weak spiritual/biblical interpretation,,569,5,3,3
unfinished-building,Unfinished building,Houses and places,KEEP,3,3,2,1,3,2,1,1,1,2,1,2,22,P1,Passes,An unfinished building in a dream often raises a practical question: what has been started but cannot yet be safely used?,"an unfinished building collapsing May symbolize setbacks, changing plans, or the need to rebuild stronger foundations.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",being-lost-in-a-building,0.2586,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,405,5,1,1
walls-closing-in,Walls closing in,Transformation and life transitions,,3,3,2,2,1,2,1,2,3,2,3,2,26,P2,Passes,"Dreams about walls closing in often reflect emotional pressure, anxiety, feeling trapped, overwhelming responsibilities, fear of failure, limited choices, or situations in waking life that feel increasingly difficult to escape.","Why recurring dreams happen Recurring dreams about walls closing in may suggest ongoing stress, emotional overload, burnout, unresolved anxiety, or responsibilities that continue exceeding your emotional capacity.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",room-closing-in-on-you,0.5424,true,"Potentially defensible if this distinction remains central: Why recurring dreams happen Recurring dreams about walls closing in may suggest ongoing stress, emotional overload, burnout, unresolved anxiety, or responsibilities that continue exceeding your emotional capacity.",Generic interpretation,Insufficient symbolic context; Excessive repetition,,943,5,5,5
seeing-multiple-moons,Seeing multiple moons,Spiritual dreams,IMPROVE,3,3,3,1,3,2,2,2,3,0,3,2,27,P2,Passes,"Dreams about seeing multiple moons often reflect major life choices, emotional complexity, spiritual awakening, competing possibilities, intuition, uncertainty, or recognizing that more than one path may exist before you.","Why recurring dreams happen Recurring dreams about seeing multiple moons may suggest ongoing life choices, spiritual awakening, emotional growth, expanding opportunities, or uncertainty that continues seeking clarity.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",full-moon,0.2742,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,859,0,5,5
temple,Temple,Houses and places,KEEP,3,3,2,1,3,2,1,1,1,2,3,2,24,P2,Passes,Peace can reflect refuge or familiarity; awe may accompany scale and ritual; discomfort can signal exclusion or unfamiliar practice; grief in a damaged temple may concern a neglected value or community.,"a temple filled with light May symbolize hope, divine guidance, peace, spiritual awakening, and emotional restoration.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",church,0.176,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,Weak spiritual/biblical interpretation; No practical connection,,517,5,3,3
stuck-in-a-loop,Stuck in a loop,Transformation and life transitions,,3,3,2,1,2,2,2,2,3,0,3,2,25,P2,Passes,"Dreams about being stuck in a loop often reflect feeling trapped in repeating patterns, unresolved emotions, unhealthy habits, life cycles, anxiety, fear of change, or situations that seem impossible to escape.",walking in the same loop Often symbolizes feeling stuck in repetitive routines or life circumstances.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",repeating-the-same-dream,0.3487,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,825,0,5,5
hearing-your-name-called,Hearing your name called,Transformation and life transitions,NOINDEX_REVIEW,3,3,3,2,1,2,2,3,2,2,1,3,27,P2,Passes,"Dreams about hearing your name called often reflect attention, identity, spiritual awareness, important messages, intuition, personal purpose, emotional awakening, or the feeling that something in your life deserves your immediate attention.","Hearing a name in a dream is not by itself evidence of prophecy, danger, or a supernatural command.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",hearing-a-voice,0.5333,false,The closest neighbor does not currently erase this page's independent intent.,Generic interpretation,Excessive repetition; Weak internal links,,736,5,1,1
reading-an-ancient-scroll,Reading an ancient scroll,Spiritual dreams,,3,3,3,1,3,1,1,2,2,0,3,2,24,P2,Passes,"Dreams about reading an ancient scroll often reflect hidden wisdom, spiritual guidance, divine revelation, forgotten knowledge, life purpose, personal growth, or discovering truths that have been waiting to be understood.","reading an ancient scroll Often symbolizes receiving wisdom, understanding, guidance, or important life lessons.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",tree-with-a-human-face,0.1986,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,883,0,5,5
giant-bugs,Giant bugs,Transformation and life transitions,IMPROVE,3,3,3,1,2,1,2,2,3,0,3,2,25,P2,Passes,"Dreams about giant bugs often reflect overwhelming worries, hidden fears, persistent problems, emotional discomfort, anxiety, situations that seem larger than life, or small issues that have grown because they have been ignored.","killing giant bugs Often symbolizes overcoming fears, solving problems, regaining confidence, or emotional healing.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",giant-snake,0.4138,false,The closest neighbor does not currently erase this page's independent intent.,Weak reflection questions,,,805,0,5,5
locusts,Locusts,Spiritual dreams,KEEP,3,2,2,1,3,2,1,2,1,2,3,2,24,P2,Passes,"locusts destroying crops May symbolize fear of loss, financial concerns, setbacks, or seeing hard work threatened.",Crops connect the threat to invested labor and future provision; locusts inside a home shift the issue toward intrusion; a swarm that causes no damage may expose fear larger than the outcome.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",escaping-danger,0.1178,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient symbolic context,No practical connection; Poor conditional scenarios,,579,5,3,3
red-sky,Red sky,Spiritual dreams,KEEP,3,3,2,1,3,1,1,3,1,2,3,3,26,P2,Passes,"a frightening red sky Often symbolizes anxiety, conflict, uncertainty, or powerful emotions seeking resolution.",The sky changes suddenly An unexplained environmental shift may reflect surprise or loss of predictability.,Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",no-moon-or-sun-in-the-sky,0.2276,false,The closest neighbor does not currently erase this page's independent intent.,Insufficient emotional context,Insufficient symbolic context; No practical connection,,611,5,3,3
tree-with-a-human-face,Tree with a human face,Spiritual dreams,,3,3,3,1,0,1,2,2,3,0,3,2,23,P2,Passes,"a smiling tree with a human face May symbolize encouragement, peace, emotional healing, and personal growth.","Why the human face feels significant Faces represent identity and awareness, making them powerful symbols when combined with natural elements like trees.",Partially,"Useful material is present, but some reasoning still resembles a broad dictionary treatment.",walking-tree,0.6056,true,"Potentially defensible if this distinction remains central: Why the human face feels significant Faces represent identity and awareness, making them powerful symbols when combined with natural elements like trees.",Generic interpretation,Weak reflection questions; Excessive repetition,,858,0,5,5
